,id,programID,orchestra,season,eventType,Location,Venue,Date,Time,ID,composerName,workTitle,conductorName,soloists,interval,movement,movement._,movement.em,workTitle._,workTitle.em
0,7358870b-65c8-43d5-ab56-514bde52db88-0.1,11640,New York Philharmonic,2011-12,Non-Subscription,"Manhattan, NY",Avery Fisher Hall,2011-09-07T04:00:00Z,7:30PM,5733*,"Bernstein,  Leonard",WEST SIDE STORY (WITH FILM),"Newman, David",[],,,,,,
1,7358870b-65c8-43d5-ab56-514bde52db88-0.1,11640,New York Philharmonic,2011-12,Non-Subscription,"Manhattan, NY",Avery Fisher Hall,2011-09-07T04:00:00Z,7:30PM,0*,,,,[],Intermission,,,,,
2,7358870b-65c8-43d5-ab56-514bde52db88-0.1,11640,New York Philharmonic,2011-12,Non-Subscription,"Manhattan, NY",Avery Fisher Hall,2011-09-08T04:00:00Z,7:30PM,5733*,"Bernstein,  Leonard",WEST SIDE STORY (WITH FILM),"Newman, David",[],,,,,,
3,7358870b-65c8-43d5-ab56-514bde52db88-0.1,11640,New York Philharmonic,2011-12,Non-Subscription,"Manhattan, NY",Avery Fisher Hall,2011-09-08T04:00:00Z,7:30PM,0*,,,,[],Intermission,,,,,
4,e0d79f25-6340-4369-a528-962bb03eabd7-0.1,11878,NYP Presentation,2011-12,Insight Series,"Manhattan, NY",The Stanley H. Kaplan Penthouse,2011-09-09T04:00:00Z,6:30PM,5725*5,"Corigliano,  John, Jr.",ONE SWEET MORNING,,"[{'soloistName': 'Duke, Cherry', 'soloistInstrument': 'Mezzo-Soprano', 'soloistRoles': 'A'}, {'soloistName': 'Gosling, Stephen', 'soloistInstrument': 'Piano', 'soloistRoles': 'A'}]",,One Sweet Morning,,,,
5,e0d79f25-6340-4369-a528-962bb03eabd7-0.1,11878,NYP Presentation,2011-12,Insight Series,"Manhattan, NY",The Stanley H. Kaplan Penthouse,2011-09-09T04:00:00Z,6:30PM,52611*,"Barber,  Samuel",ADAGIO FOR STRINGS,,"[{'soloistName': 'Kim, Michelle', 'soloistInstrument': 'Violin', 'soloistRoles': 'A'}, {'soloistName': 'Ziskel, Yulia', 'soloistInstrument': 'Violin', 'soloistRoles': 'A'}, {'soloistName': 'Rinehart, Robert', 'soloistInstrument': 'Viola', 'soloistRoles': 'A'}, {'soloistName': 'Moon-Myers, Eileen', 'soloistInstrument': 'Cello', 'soloistRoles': 'A'}]",,,,,,
6,e0d79f25-6340-4369-a528-962bb03eabd7-0.1,11878,NYP Presentation,2011-12,Insight Series,"Manhattan, NY",The Stanley H. Kaplan Penthouse,2011-09-09T04:00:00Z,6:30PM,11812*,"Discussion,",DISCUSSION,,"[{'soloistName': 'Wiprud, Theodore', 'soloistInstrument': 'Host', 'soloistRoles': 'A'}, {'soloistName': 'Corigliano, John, Jr.', 'soloistInstrument': 'Speaker', 'soloistRoles': 'A'}, {'soloistName': 'Haws, Barbara', 'soloistInstrument': 'Speaker', 'soloistRoles': 'A'}]",,,,,,
7,f2a4cfed-5e56-4980-8d6f-8765acf18c82-0.1,10691,New York Philharmonic,2011-12,Special,"Manhattan, NY",Avery Fisher Hall,2011-09-10T04:00:00Z,7:30PM,3965*,"Anthem,",UNITED STATES,"Gilbert, Alan",[],,,,,,
8,f2a4cfed-5e56-4980-8d6f-8765acf18c82-0.1,10691,New York Philharmonic,2011-12,Special,"Manhattan, NY",Avery Fisher Hall,2011-09-10T04:00:00Z,7:30PM,52827*,"Mahler,  Gustav",SYMPHONY NO.  2 IN C MINOR (RESURRECTION),"Gilbert, Alan","[{'soloistName': 'Roschmann [Röschmann], Dorothea', 'soloistInstrument': 'Soprano', 'soloistRoles': 'S'}, {'soloistName': 'DeYoung, Michelle', 'soloistInstrument': 'Mezzo-Soprano', 'soloistRoles': 'S'}, {'soloistName': 'New York Choral Artists', 'soloistInstrument': 'Chorus', 'soloistRoles': 'S'}]",,,,,,
9,67531fff-a9e0-46ef-a494-033d51d2856f-0.1,10692,New York Philharmonic,2011-12,Parks,"Manhattan, NY","The Great Lawn, Central Park",2011-09-15T04:00:00Z,8:00PM,50376*1,"Verdi,  Giuseppe","FORZA DEL DESTINO, LA","Gilbert, Alan",[],,Overture,,,,
10,67531fff-a9e0-46ef-a494-033d51d2856f-0.1,10692,New York Philharmonic,2011-12,Parks,"Manhattan, NY","The Great Lawn, Central Park",2011-09-15T04:00:00Z,8:00PM,5237*6,"Verdi,  Giuseppe",RIGOLETTO,"Gilbert, Alan","[{'soloistName': 'Bocelli, Andrea', 'soloistInstrument': 'Tenor', 'soloistRoles': 'S'}]",,"""La donna è mobile""",,,,
11,67531fff-a9e0-46ef-a494-033d51d2856f-0.1,10692,New York Philharmonic,2011-12,Parks,"Manhattan, NY","The Great Lawn, Central Park",2011-09-15T04:00:00Z,8:00PM,8860*3,"Verdi,  Giuseppe","TROVATORE, IL","Gilbert, Alan","[{'soloistName': 'Bocelli, Andrea', 'soloistInstrument': 'Tenor', 'soloistRoles': 'S'}, {'soloistName': 'Westminster Symphonic Choir', 'soloistInstrument': 'Chorus', 'soloistRoles': 'S'}]",,"""Ah, sì ben mio"" ... ""Di quella pira,"" Manrico (aria), Act III, scene ii",,,,
